pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,length,traversal_time,stair_count,max_slope,min_width,signposted_as,reversed_signposted_as
IDFM:StopPlaceEntrance:50171258:IDFM:472648,IDFM:StopPlaceEntrance:50171258,IDFM:472648,1,1,69.25,88,,,,,
IDFM:StopPlaceEntrance:50171258:IDFM:monomodalStopPlace:46736,IDFM:StopPlaceEntrance:50171258,IDFM:monomodalStopPlace:46736,1,1,39.48,50,,,,,
IDFM:StopPlaceEntrance:50171257:IDFM:monomodalStopPlace:43132,IDFM:StopPlaceEntrance:50171257,IDFM:monomodalStopPlace:43132,1,1,31.65,40,,,,,
IDFM:StopPlaceEntrance:50171256:IDFM:monomodalStopPlace:43179,IDFM:StopPlaceEntrance:50171256,IDFM:monomodalStopPlace:43179,1,1,258.99,329,,,,,
IDFM:StopPlaceEntrance:50171255:IDFM:monomodalStopPlace:46035,IDFM:StopPlaceEntrance:50171255,IDFM:monomodalStopPlace:46035,1,1,32.39,41,,,,,
IDFM:StopPlaceEntrance:50171254:IDFM:monomodalStopPlace:47925,IDFM:StopPlaceEntrance:50171254,IDFM:monomodalStopPlace:47925,1,1,34.96,44,,,,,
IDFM:StopPlaceEntrance:50171253:IDFM:monomodalStopPlace:47925,IDFM:StopPlaceEntrance:50171253,IDFM:monomodalStopPlace:47925,1,1,42.25,53,,,,,
IDFM:StopPlaceEntrance:50171252:IDFM:monomodalStopPlace:58718,IDFM:StopPlaceEntrance:50171252,IDFM:monomodalStopPlace:58718,1,1,225.81,287,,,,,
IDFM:StopPlaceEntrance:50171251:IDFM:monomodalStopPlace:43082,IDFM:StopPlaceEntrance:50171251,IDFM:monomodalStopPlace:43082,1,1,116.35,148,,,,,
IDFM:StopPlaceEntrance:50171250:IDFM:470812,IDFM:StopPlaceEntrance:50171250,IDFM:470812,1,1,72.84,92,,,,,
IDFM:StopPlaceEntrance:50171250:IDFM:471553,IDFM:StopPlaceEntrance:50171250,IDFM:471553,1,1,69.97,89,,,,,
